post,url
2016-09-02-are-you-syrious-digest-02-09-french-interior-minister-promises-to-dismantle-calais-camp-4aa37c2599ef.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14173315_781895551952042_242179322_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=776239&_nc_ohc=yqIsOq5UvJ4AX8T5GeB&_nc_ht=scontent.flis6-1.fna&oh=00_AfBWr3XXtiW-J4N_HPf1Hf0fgi6cTW7AOR6VArtOjHEV8Q&oe=639B8FDD
2016-09-12-thousands-rescued-in-the-mediterranean-over-the-weekend-e34e68fbc67b.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14146385_627568217426152_1152438080_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=776239&_nc_ohc=CePgSRRKHP4AX88fv8r&_nc_ht=scontent.flis6-1.fna&oh=00_AfDYoW44lRwoLieWpzzKOMyFuFR-xZFZyot57zxUalOaoA&oe=639A5912
2016-09-15-ays-news-digest-14-9-refugee-squat-notara-26-is-open-again-5d8c700a38c2.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14299633_797342843740558_897478876_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=776239&_nc_ohc=YRIuATamTR8AX8hLVtN&_nc_ht=scontent.flis6-1.fna&oh=00_AfCQ9qy8WZW8saL0B1EXmp149TtrgBPKX-U4Of7dlg4Dbg&oe=639ACB5D
2016-09-17-ays-news-digest-16-9-refugee-at-adavasci-transit-center-on-the-border-with-hungary-reveals-horrid-70ba8b9ab89f.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14299680_1165885613501561_1695017677_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=776239&_nc_ohc=WrihIF6Af7cAX_FBmQi&_nc_ht=scontent.flis6-1.fna&oh=00_AfBDNu-NORmFdUZYEArurTCLyBpdz8iuSJlL54WuisuvWw&oe=639B4979
2016-09-19-ays-digest-18-9-volunteers-call-on-uk-to-resettle-unaccompanied-minors-from-calais-757f4cf02bad.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14411238_10154642773988115_933155243_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=776239&_nc_ohc=r11AG3U1J6kAX_FO8zV&_nc_ht=scontent.flis6-1.fna&oh=00_AfDZP7n6qdth4u2EDUHVnRRDWffDrgIGQrGU0vK66xeHsw&oe=639A348A
2016-09-24-ays-daily-digest-23-9-do-we-still-remember-what-human-rights-are-73024535b7de.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14411362_1766229963651474_6550328591056371712_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=776239&_nc_ohc=TuEJjZ5Zv1sAX-0UoRq&_nc_ht=scontent.flis6-1.fna&oh=00_AfC8nWPQNcQ-GnwbtK_2QfcBCVGfSkETyawuNoOLcQ3U4A&oe=639B02C5
2016-09-24-ays-daily-digest-23-9-do-we-still-remember-what-human-rights-are-73024535b7de.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14146367_1679003615752443_4690092042280239104_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=776239&_nc_ohc=aK9tDwx160MAX85DZh7&_nc_ht=scontent.flis6-1.fna&oh=00_AfBnDXkp0oLxdJ-JYlQ01FVHf0uXguLc3T0nR-KSVNvFvg&oe=639BA8E6
2016-09-25-ays-daily-digest-24-25-09-borderscankill-bddfb7acd057.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14467446_1652384125090648_7581829407405244416_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=776239&_nc_ohc=K3rjSvi0li4AX8VQAgH&_nc_ht=scontent.flis6-1.fna&oh=00_AfDHul1MpiC0Kk1SlbPBwdmIHE56L9J2teWDlbggb9_Tvg&oe=639A3F10
2016-09-25-ays-daily-digest-24-25-09-borderscankill-bddfb7acd057.md,https://www.ecchr.eu/fileadmin/_processed_/f/5/csm_MIG_EN_FB_fb539279f7.png
2016-10-05-unrest-in-belgrade-in-the-aftermath-of-yesterdays-march-towards-the-border-c0b87b7f57b7.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/14511063_1102687596452170_4807004457986424832_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=776239&_nc_ohc=VICR5kIzg_0AX83r4zB&_nc_ht=scontent.flis6-1.fna&oh=00_AfDp99qjy0R4DTH2dPPX7S5SRMmS2Gd3M6yUAnFZnV86WA&oe=639A5130
